unnested,unnested_with_transform,nested
32.571667432785034,32.4189977645874,27.846023321151733
33.28091835975647,31.64111614227295,28.017670392990112
32.877798080444336,34.826908826828,29.632847785949707
33.465842962265015,31.888638257980347,28.736161947250366
31.663574934005737,32.66427779197693,28.88344693183899
32.6011176109314,32.233067989349365,29.37375259399414
33.60430073738098,32.37467432022095,28.785001277923584
34.40501666069031,31.930453062057495,29.04569387435913
34.81420707702637,32.868260622024536,29.095494747161865
32.09232711791992,34.27661919593811,28.83210563659668
32.57988739013672,32.562143087387085,28.68527579307556
31.937848567962646,31.766690254211426,28.342673301696777
33.09065318107605,32.68409752845764,27.95499014854431
32.244518518447876,32.950844049453735,28.46596932411194
32.97774410247803,32.301608085632324,29.20887517929077
32.64942979812622,32.655272483825684,27.859764337539673
32.069530963897705,33.03973054885864,28.39557147026062
31.687644481658936,32.89900016784668,28.673604488372803
31.701932668685913,32.04305648803711,29.619454860687256
32.58072304725647,31.991672039031982,28.890998125076294
31.29146671295166,32.0816113948822,28.93648099899292
31.30798625946045,32.24586319923401,28.464643716812134
31.170501708984375,32.255974769592285,29.499581336975098
32.00994038581848,35.19145727157593,29.156158208847046
32.006836891174316,32.93627095222473,27.68153715133667
31.837949514389038,31.91569232940674,29.766175508499146
32.120712995529175,32.208760261535645,28.597970485687256
31.76187539100647,31.505797863006592,33.34654355049133
32.3111777305603,32.3873405456543,28.304442405700684
35.46221375465393,31.888238668441772,28.65334725379944
